2L	926180
2L	926329
2L	926755
2L	927273
2L	927287
2L	927527
2L	927530
2L	927654
2L	927746
2L	928003
2L	928528
2L	928802
2L	929053
2L	929397
2L	929741
2L	929859
2L	930441
2L	930895
2L	930939
2L	931764
2L	931874
2L	932271
2L	932324
2L	932466
2L	932496
2L	932622
2L	932695
2L	933029
2L	933178
2L	933211
2L	933782
2L	933906
2L	934127
2L	934328
2L	934700
2L	934769
2L	934886
2L	934918
2L	935068
2L	935359
2L	935392
2L	935475
2L	935590
2L	935771
2L	935837
2L	935887
2L	935988
2L	936179
2L	936361
2L	936595
2L	936674
2L	936712
2L	936868
2L	937093
2L	937882
2L	938022
2L	938242
2L	938245
2L	938390
2L	938609
2L	938702
2L	938709
2L	939074
2L	939206
2L	939241
2L	939522
2L	939588
2L	939686
2L	940004
2L	940029
2L	940338
2L	940722
2L	940935
2L	941064
2L	941088
2L	941502
2L	942308
2L	943193
2L	943411
2L	944723
2L	944939
2L	945561
2L	945803
2L	945894
2L	946116
2L	946144
2L	946698
2L	946779
2L	946892
2L	947187
2L	947519
2L	947523
2L	947664
2L	947934
2L	947980
2L	948143
2L	948659
2L	948684
2L	948813
2L	948965
2L	949393
2L	950142
2L	950166
2L	951699
2L	952219
2L	952495
2L	953177
2L	953261
2L	953741
2L	953905
2L	954061
2L	954339
2L	954941
2L	955356
2L	955517
2L	955587
2L	955630
2L	955670
2L	955749
2L	955982
2L	956585
2L	957160
2L	957213
2L	957515
2L	957629
2L	957671
2L	958037
2L	958327
2L	958690
2L	958768
2L	959320
2L	960624
2L	960696
2L	961280
2L	961607
2L	961680
2L	961984
2L	962762
2L	962954
2L	963076
2L	963768
2L	963811
2L	963866
2L	963972
2L	964199
2L	964294
2L	964532
2L	964701
2L	964705
2L	964877
2L	965522
2L	965587
2L	965968
2L	966222
2L	967230
2L	967468
2L	967518
2L	968208
2L	968601
2L	968709
2L	968937
2L	969309
2L	969335
2L	969514
2L	969740
2L	969764
2L	970677
2L	970960
2L	971173
2L	971911
2L	971924
2L	972283
2L	972394
2L	972879
2L	972962
2L	973041
2L	973042
2L	973197
2L	973210
2L	973237
2L	973305
